Issuance Date,Quantity Issued,Serial Number,Vintage1,Project Type,Product Type
2023-06-20T09:39:48Z,315690,GS1-1-UG-GS2296-16-2022-24653-1-315690,2022,Energy Efficiency - Domestic,VER
2023-06-20T09:39:48Z,3943,GS1-1-UG-GS2296-16-2021-24652-1-3943,2021,Energy Efficiency - Domestic,VER
2023-06-15T15:27:26Z,15598,GS1-1-ER-GS5125-16-2021-24651-1-15598,2021,Energy Efficiency - Domestic,VER
2023-06-15T15:27:26Z,44552,GS1-1-ER-GS5125-16-2020-24650-1-44552,2020,Energy Efficiency - Domestic,VER
2023-06-15T11:49:12Z,18048,IN-5-274988712-2-2-0-7433 - IN-5-275006759-2-2-0-7433,2020,Wind,GS CER
2023-06-15T11:48:48Z,21670,IN-5-274967042-2-2-0-7433 - IN-5-274988711-2-2-0-7433,2019,Wind,GS CER
2023-06-15T11:48:18Z,2836,IN-5-274964206-2-2-0-7433 - IN-5-274967041-2-2-0-7433,2018,Wind,GS CER
2023-06-14T11:31:03Z,220301,GS1-1-CN-GS11256-13-2023-24646-1-220301,2023,Geothermal,VER
2023-06-14T11:31:03Z,149605,GS1-1-CN-GS11256-13-2022-24645-1-149605,2022,Geothermal,VER
2023-06-14T11:12:11Z,3816,GS1-1-CM-GS4593-21-2021-24644-1-3816,2021,Other,VER
2023-06-13T17:00:14Z,17089,GS1-1-MN-GS2684-16-2022-24643-1-17089,2022,Energy Efficiency - Domestic,VER
2023-06-13T17:00:14Z,65656,GS1-1-MN-GS2684-16-2021-24642-1-65656,2021,Energy Efficiency - Domestic,VER
2023-06-13T17:00:13Z,48568,GS1-1-MN-GS2684-16-2020-24641-1-48568,2020,Energy Efficiency - Domestic,VER
2023-06-13T04:41:09Z,10294,GS1-1-BD-GS11153-16-2022-24640-1-10294,2022,Energy Efficiency - Domestic,VER
2023-06-13T04:39:39Z,14658,GS1-1-BD-GS11152-16-2022-24639-1-14658,2022,Energy Efficiency - Domestic,VER
2023-06-13T04:39:39Z,7744,GS1-1-BD-GS11152-16-2021-24638-1-7744,2021,Energy Efficiency - Domestic,VER
2023-06-13T04:37:36Z,12999,GS1-1-BD-GS11151-16-2022-24637-1-12999,2022,Energy Efficiency - Domestic,VER
2023-06-13T04:37:36Z,8952,GS1-1-BD-GS11151-16-2021-24636-1-8952,2021,Energy Efficiency - Domestic,VER
2023-06-13T04:27:58Z,22686,GS1-1-RW-GS11137-16-2022-24635-1-22686,2022,Energy Efficiency - Domestic,VER
2023-06-13T04:26:29Z,30334,GS1-1-RW-GS11136-16-2022-24634-1-30334,2022,Energy Efficiency - Domestic,VER
2023-06-13T04:26:28Z,2959,GS1-1-RW-GS11136-16-2021-24633-1-2959,2021,Energy Efficiency - Domestic,VER
2023-06-13T04:18:25Z,22813,GS1-1-RW-GS11135-16-2022-24632-1-22813,2022,Energy Efficiency - Domestic,VER
2023-06-13T04:14:41Z,29667,GS1-1-RW-GS11134-16-2022-24631-1-29667,2022,Energy Efficiency - Domestic,VER
2023-06-13T04:14:41Z,5210,GS1-1-RW-GS11134-16-2021-24630-1-5210,2021,Energy Efficiency - Domestic,VER
2023-06-13T04:12:28Z,29373,GS1-1-RW-GS11133-16-2022-24629-1-29373,2022,Energy Efficiency - Domestic,VER
2023-06-13T04:12:28Z,5158,GS1-1-RW-GS11133-16-2021-24628-1-5158,2021,Energy Efficiency - Domestic,VER
2023-06-12T14:20:09Z,5823,GS1-1-UG-GS6604-16-2022-24627-1-5823,2022,Energy Efficiency - Domestic,VER
2023-06-12T14:20:09Z,23934,GS1-1-UG-GS6604-16-2021-24626-1-23934,2021,Energy Efficiency - Domestic,VER
2023-06-12T14:20:09Z,19395,GS1-1-UG-GS6604-16-2020-24625-1-19395,2020,Energy Efficiency - Domestic,VER
2023-06-12T11:20:33Z,15930,GS1-1-IN-GS11455-4-2022-24624-1-15930,2022,Biogas - Heat,VER
2023-06-12T11:20:33Z,48457,GS1-1-IN-GS11455-4-2021-24623-1-48457,2021,Biogas - Heat,VER
2023-06-12T11:20:33Z,2256,GS1-1-IN-GS11455-4-2020-24622-1-2256,2020,Biogas - Heat,VER
2023-06-12T10:44:13Z,250934,GS1-1-CN-GS11400-13-2023-24621-1-250934,2023,Geothermal,VER
2023-06-12T10:44:13Z,170914,GS1-1-CN-GS11400-13-2022-24620-1-170914,2022,Geothermal,VER
2023-06-12T09:32:52Z,4586,GS1-1-ER-GS4036-16-2022-24619-1-4586,2022,Energy Efficiency - Domestic,VER
2023-06-12T09:32:52Z,3310,GS1-1-ER-GS4036-16-2021-24618-1-3310,2021,Energy Efficiency - Domestic,VER
2023-06-12T09:25:10Z,2632,GS1-1-ER-GS3262-16-2022-24617-1-2632,2022,Energy Efficiency - Domestic,VER
2023-06-12T09:23:34Z,1439,GS1-1-ER-GS3262-16-2022-24616-1-1439,2022,Energy Efficiency - Domestic,VER
2023-06-12T09:23:34Z,3263,GS1-1-ER-GS3262-16-2021-24615-1-3263,2021,Energy Efficiency - Domestic,VER
2023-06-12T08:29:07Z,35258,GS1-1-ET-GS11149-16-2021-24614-1-35258,2021,Energy Efficiency - Domestic,VER
2023-06-12T08:27:39Z,35518,GS1-1-ET-GS11148-16-2021-24613-1-35518,2021,Energy Efficiency - Domestic,VER
2023-06-12T08:25:00Z,35883,GS1-1-ET-GS11147-16-2021-24612-1-35883,2021,Energy Efficiency - Domestic,VER
2023-06-12T08:01:47Z,14362,GS1-1-MN-GS2685-16-2022-24611-1-14362,2022,Energy Efficiency - Domestic,VER
2023-06-12T08:01:47Z,55666,GS1-1-MN-GS2685-16-2021-24610-1-55666,2021,Energy Efficiency - Domestic,VER
2023-06-12T08:01:47Z,42198,GS1-1-MN-GS2685-16-2020-24609-1-42198,2020,Energy Efficiency - Domestic,VER
2023-06-12T07:54:08Z,16438,GS1-1-MN-GS2687-16-2022-24608-1-16438,2022,Energy Efficiency - Domestic,VER
2023-06-12T07:54:07Z,63524,GS1-1-MN-GS2687-16-2021-24607-1-63524,2021,Energy Efficiency - Domestic,VER
2023-06-12T07:54:07Z,47763,GS1-1-MN-GS2687-16-2020-24606-1-47763,2020,Energy Efficiency - Domestic,VER
2023-06-12T07:43:32Z,15003,GS1-1-MN-GS2686-16-2022-24605-1-15003,2022,Energy Efficiency - Domestic,VER
2023-06-12T07:43:32Z,58078,GS1-1-MN-GS2686-16-2021-24604-1-58078,2021,Energy Efficiency - Domestic,VER
2023-06-12T07:43:32Z,43879,GS1-1-MN-GS2686-16-2020-24603-1-43879,2020,Energy Efficiency - Domestic,VER
2023-06-12T03:31:33Z,16300,GS1-1-MN-GS2435-16-2022-24602-1-16300,2022,Energy Efficiency - Domestic,VER
2023-06-12T03:31:33Z,63319,GS1-1-MN-GS2435-16-2021-24601-1-63319,2021,Energy Efficiency - Domestic,VER
2023-06-12T03:31:33Z,48292,GS1-1-MN-GS2435-16-2020-24600-1-48292,2020,Energy Efficiency - Domestic,VER
2023-06-09T14:46:52Z,44562,GS1-1-KE-GS7587-4-2021-24599-1-44562,2021,Biogas - Heat,VER
2023-06-09T14:46:52Z,19131,GS1-1-KE-GS7587-4-2020-24598-1-19131,2020,Biogas - Heat,VER
2023-06-09T13:19:39Z,79032,GS1-1-CN-GS7434-3-2022-24597-1-79032,2022,Solar Thermal - Heat,VER
2023-06-09T13:15:42Z,79903,GS1-1-CN-GS7433-3-2022-24596-1-79903,2022,Solar Thermal - Heat,VER
2023-06-08T10:53:16Z,143226,GS1-1-BI-GS11140-16-2021-24595-1-143226,2021,Energy Efficiency - Domestic,VER
2023-06-08T10:53:16Z,15558,GS1-1-BI-GS11140-16-2020-24594-1-15558,2020,Energy Efficiency - Domestic,VER
2023-06-02T08:23:51Z,6432,GS1-1-IN-GS7467-2-2022-24593-1-6432,2022,Solar Thermal - Electricity,VER
2023-06-02T08:23:51Z,23287,GS1-1-IN-GS7467-2-2021-24592-1-23287,2021,Solar Thermal - Electricity,VER
